Sampler,Model,Accuracy,F1,ROC_AUC
SMOTE,GradientBoosting,0.9935483870967742,0.6666666666666666,0.5555555555555556
SMOTE,RandomForest,0.9935483870967742,0.6666666666666666,0.7320261437908496
Random Over,GradientBoosting,0.9935483870967742,0.6666666666666666,0.7875816993464052
Random Over,RandomForest,0.9935483870967742,0.6666666666666666,0.6062091503267975
No Sampling,RandomForest,0.9870967741935484,0.0,0.6209150326797386
No Sampling,GradientBoosting,0.9870967741935484,0.0,0.8758169934640523
No Sampling,LogisticRegression,0.9870967741935484,0.0,0.4084967320261438
SMOTE,SVM,0.9612903225806452,0.0,0.488562091503268
Random Over,SVM,0.9548387096774194,0.0,0.5196078431372548
No Sampling,SVM,0.9483870967741935,0.0,0.47058823529411764
SMOTE,LogisticRegression,0.9225806451612903,0.0,0.5130718954248366
Random Over,LogisticRegression,0.9096774193548387,0.0,0.5392156862745099
Random Under,RandomForest,0.6387096774193548,0.034482758620689655,0.7173202614379085
Random Under,LogisticRegression,0.6,0.03125,0.5392156862745098
Random Under,SVM,0.5225806451612903,0.02631578947368421,0.5359477124183006
NearMiss,RandomForest,0.3870967741935484,0.020618556701030927,0.4068627450980392
Random Under,GradientBoosting,0.3548387096774194,0.038461538461538464,0.6601307189542484
NearMiss,SVM,0.3096774193548387,0.01834862385321101,0.369281045751634
NearMiss,LogisticRegression,0.2903225806451613,0.017857142857142856,0.35947712418300654
NearMiss,GradientBoosting,0.14193548387096774,0.014814814814814815,0.30392156862745096
